Sort	Applicant / License #	Proprietary Name	Proper Name	BLA STN#	Product #	Total Drug Content (Concentration)	Approval Date	Dosage Form/Route/Presentation	Discontinued Date
510	SEQIRUS VACCINES LIMITED / 2055	FLUVIRIN	INFLUENZA VIRUS VACCINE	103837 / 0	3	450 MCG HA/5 ML ( 45 MCG HA/0.5 ML )	09/15/2009	SUSPENSION / INTRAMUSCULAR   / MULTI- DOSE VIAL	06/14/2018
511	TAKEDA PHARMA AS / 1894	TACHOSIL	FIBRIN SEALANT PATCH	125351 / 0	1		04/05/2010		06/14/2018
512	VERICEL CORPORATION / 2010	CARTICEL SM SERVICE	AUTOLOGOUS CULTURED CHONDROCYTES	103661 / 0	1	12 MIL CELLS ( 12 MIL CELLS/VIAL )	08/22/1997	IMPLANTATION / INTRAARTICULAR / SINGLE- DOSE VIAL	09/26/2017
513	WELLCOME FOUNDATION LIMITED WELLCOME RESEARCH LABORATORIES / 0129	DIGIBIND	DIGOXIN IMMUNE FAB (OVINE)	103141 / 0	1	38 MG ( 38 MG/VIAL )	04/22/1986	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	09/14/2011
514	WYETH PHARMACEUTICALS INC / 0003		ANTIVENIN (CROTALIDAE) POLYVALENT	101098 / 0	1	10 ML/VIAL ( 10 ML/VIAL )	02/08/1954	"SOLUTION / INTRAVENOUS, INTRAMUSCULAR / SINGLE-DOSE VIAL"	10/01/2007
515	WYETH PHARMACEUTICALS INC / 0003		ANTIVENIN (MICRURUS FULVIUS)	101099 / 0	1	10 ML ( 10 ML/VIAL )	08/28/1967	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	10/01/2007
516	WYETH PHARMACEUTICALS INC / 0003	REFACTO	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	103779 / 0	1	250 IU ( 250 IU/VIAL )	03/06/2000	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	07/24/2012
517	WYETH PHARMACEUTICALS INC / 0003	REFACTO	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	103779 / 0	2	500 IU ( 500 IU/VIAL )	03/06/2000	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	07/24/2012
518	WYETH PHARMACEUTICALS INC / 0003	REFACTO	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	103779 / 0	3	1000 IU ( 1000 IU/VIAL )	03/06/2000	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	07/24/2012
519	WYETH PHARMACEUTICALS INC / 0003	REFACTO	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	103779 / 0	4	2000 IU ( 2000 IU/VIAL )	03/06/2000	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	07/24/2012
